[2021-05-21 12:17:13,198][iopath.fb.manifold][INFO] - Caching manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth ...
[2021-05-21 12:17:44,095][__main__][INFO] - Pair: pair_000006 lpips=0.6789582967758179
[2021-05-21 12:17:44,234][__main__][INFO] - Pair: pair_000006 ssim=0.545142412185669
[2021-05-21 12:17:44,266][__main__][INFO] - Pair: pair_000007 l1=0.12631504237651825
[2021-05-21 12:17:44,269][__main__][INFO] - Pair: pair_000007 l1_masked=0.1462468057870865
[2021-05-21 12:17:44,270][__main__][INFO] - Pair: pair_000007 psnr=14.707229614257812
[2021-05-21 12:17:44,273][__main__][INFO] - Pair: pair_000007 psnr_masked=14.070916175842285
[2021-05-21 12:17:44,290][__main__][INFO] - Pair: pair_000007 lpips=0.561378002166748
[2021-05-21 12:17:44,460][__main__][INFO] - Pair: pair_000007 ssim=0.5990055799484253
[2021-05-21 12:17:44,495][__main__][INFO] - Pair: pair_000008 l1=0.15404626727104187
[2021-05-21 12:17:44,497][__main__][INFO] - Pair: pair_000008 l1_masked=0.16181769967079163
[2021-05-21 12:17:44,499][__main__][INFO] - Pair: pair_000008 psnr=13.530376434326172
[2021-05-21 12:17:44,502][__main__][INFO] - Pair: pair_000008 psnr_masked=13.316627502441406
[2021-05-21 12:17:44,517][__main__][INFO] - Pair: pair_000008 lpips=0.69382643699646
[2021-05-21 12:17:44,667][__main__][INFO] - Pair: pair_000008 ssim=0.5564227104187012
[2021-05-21 12:17:44,702][__main__][INFO] - Pair: pair_000009 l1=0.1822098344564438
[2021-05-21 12:17:44,705][__main__][INFO] - Pair: pair_000009 l1_masked=0.2504347860813141
[2021-05-21 12:17:44,706][__main__][INFO] - Pair: pair_000009 psnr=10.603614807128906
[2021-05-21 12:17:44,708][__main__][INFO] - Pair: pair_000009 psnr_masked=9.222387313842773
[2021-05-21 12:17:44,725][__main__][INFO] - Pair: pair_000009 lpips=0.4913569688796997
[2021-05-21 12:17:44,894][__main__][INFO] - Pair: pair_000009 ssim=0.6142289042472839
[2021-05-21 12:17:44,935][__main__][INFO] - Pair: pair_000010 l1=0.1848493218421936
[2021-05-21 12:17:44,938][__main__][INFO] - Pair: pair_000010 l1_masked=0.18736299872398376
[2021-05-21 12:17:44,940][__main__][INFO] - Pair: pair_000010 psnr=11.788318634033203
[2021-05-21 12:17:44,943][__main__][INFO] - Pair: pair_000010 psnr_masked=11.729659080505371
[2021-05-21 12:17:44,965][__main__][INFO] - Pair: pair_000010 lpips=0.6405066251754761
[2021-05-21 12:17:45,118][__main__][INFO] - Pair: pair_000010 ssim=0.5408610701560974
[2021-05-21 12:17:45,152][__main__][INFO] - Pair: pair_000011 l1=0.24040508270263672
[2021-05-21 12:17:45,154][__main__][INFO] - Pair: pair_000011 l1_masked=0.2453714907169342
[2021-05-21 12:17:45,155][__main__][INFO] - Pair: pair_000011 psnr=9.476255416870117
[2021-05-21 12:17:45,158][__main__][INFO] - Pair: pair_000011 psnr_masked=9.387451171875
[2021-05-21 12:17:45,172][__main__][INFO] - Pair: pair_000011 lpips=0.7061561942100525
[2021-05-21 12:17:45,309][__main__][INFO] - Pair: pair_000011 ssim=0.5040820240974426
[2021-05-21 12:17:45,349][__main__][INFO] - Pair: pair_000012 l1=0.14451514184474945
[2021-05-21 12:17:45,352][__main__][INFO] - Pair: pair_000012 l1_masked=0.15089908242225647
[2021-05-21 12:17:45,354][__main__][INFO] - Pair: pair_000012 psnr=13.97199535369873
[2021-05-21 12:17:45,357][__main__][INFO] - Pair: pair_000012 psnr_masked=13.784263610839844
[2021-05-21 12:17:45,377][__main__][INFO] - Pair: pair_000012 lpips=0.6444779634475708
[2021-05-21 12:17:45,531][__main__][INFO] - Pair: pair_000012 ssim=0.5640112161636353
[2021-05-21 12:17:45,568][__main__][INFO] - Pair: pair_000013 l1=0.2466435730457306
[2021-05-21 12:17:45,571][__main__][INFO] - Pair: pair_000013 l1_masked=0.25385040044784546
[2021-05-21 12:17:45,573][__main__][INFO] - Pair: pair_000013 psnr=9.166017532348633
[2021-05-21 12:17:45,576][__main__][INFO] - Pair: pair_000013 psnr_masked=9.040937423706055
[2021-05-21 12:17:45,595][__main__][INFO] - Pair: pair_000013 lpips=0.6145341396331787
[2021-05-21 12:17:45,773][__main__][INFO] - Pair: pair_000013 ssim=0.5061177611351013
[2021-05-21 12:17:45,814][__main__][INFO] - Pair: pair_000014 l1=0.13781125843524933
[2021-05-21 12:17:45,818][__main__][INFO] - Pair: pair_000014 l1_masked=0.15212027728557587
[2021-05-21 12:17:45,820][__main__][INFO] - Pair: pair_000014 psnr=14.331735610961914
[2021-05-21 12:17:45,823][__main__][INFO] - Pair: pair_000014 psnr_masked=13.902710914611816
[2021-05-21 12:17:45,854][__main__][INFO] - Pair: pair_000014 lpips=0.4875905215740204
[2021-05-21 12:17:46,070][__main__][INFO] - Pair: pair_000014 ssim=0.5486558079719543
[2021-05-21 12:17:46,113][__main__][INFO] - Pair: pair_000015 l1=0.15425293147563934
[2021-05-21 12:17:46,116][__main__][INFO] - Pair: pair_000015 l1_masked=0.18677635490894318
[2021-05-21 12:17:46,118][__main__][INFO] - Pair: pair_000015 psnr=13.437894821166992
[2021-05-21 12:17:46,122][__main__][INFO] - Pair: pair_000015 psnr_masked=12.607009887695312
[2021-05-21 12:17:46,139][__main__][INFO] - Pair: pair_000015 lpips=0.5813324451446533
[2021-05-21 12:17:46,288][__main__][INFO] - Pair: pair_000015 ssim=0.5282557010650635
[2021-05-21 12:17:46,323][__main__][INFO] - Pair: pair_000016 l1=0.16560517251491547
[2021-05-21 12:17:46,326][__main__][INFO] - Pair: pair_000016 l1_masked=0.2143477499485016
[2021-05-21 12:17:46,327][__main__][INFO] - Pair: pair_000016 psnr=11.27011489868164
[2021-05-21 12:17:46,330][__main__][INFO] - Pair: pair_000016 psnr_masked=10.149664878845215
[2021-05-21 12:17:46,349][__main__][INFO] - Pair: pair_000016 lpips=0.5483574867248535
[2021-05-21 12:17:46,503][__main__][INFO] - Pair: pair_000016 ssim=0.5498379468917847
