[2021-05-21 04:11:06,495][iopath.fb.manifold][INFO] - URL manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth
[2021-05-21 04:11:09,560][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1Metric object at 0x7efd188d9490>
[2021-05-21 04:11:09,560][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1MaskedMetric object at 0x7efd17ab91c0>
[2021-05-21 04:11:09,560][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMetric object at 0x7efd17ab92e0>
[2021-05-21 04:11:09,560][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMaskedMetric object at 0x7efd17a996a0>
[2021-05-21 04:11:09,560][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.lpips.LPIPSMetric object at 0x7efd17a99df0>
[2021-05-21 04:11:09,560][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.ssim.SSIMMetric object at 0x7efd17a422b0>
[2021-05-21 04:11:09,561][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/unpacked.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/unpacked.zip
[2021-05-21 04:11:12,358][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/gt_warp.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/gt_warp.zip
[2021-05-21 04:11:12,720][iopath.fb.manifold][INFO] - Caching manifold://x3d_svnerf/tree/eval/spaces/ours_f274151551.zip ...
[2021-05-21 04:11:16,548][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/ours_f274151551.zip cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/ours_f274151551.zip
[2021-05-21 04:11:16,903][__main__][INFO] - Pair: pair_000000 l1=0.06653965264558792
[2021-05-21 04:11:16,906][__main__][INFO] - Pair: pair_000000 l1_masked=0.07684166729450226
[2021-05-21 04:11:16,908][__main__][INFO] - Pair: pair_000000 psnr=20.271766662597656
[2021-05-21 04:11:16,911][__main__][INFO] - Pair: pair_000000 psnr_masked=19.646602630615234
[2021-05-21 04:11:16,928][__main__][INFO] - Pair: pair_000000 lpips=0.5438103079795837
[2021-05-21 04:11:17,079][__main__][INFO] - Pair: pair_000000 ssim=0.7406380772590637
[2021-05-21 04:11:17,110][__main__][INFO] - Pair: pair_000001 l1=0.06105675548315048
[2021-05-21 04:11:17,112][__main__][INFO] - Pair: pair_000001 l1_masked=0.07922668009996414
[2021-05-21 04:11:17,114][__main__][INFO] - Pair: pair_000001 psnr=20.086254119873047
[2021-05-21 04:11:17,116][__main__][INFO] - Pair: pair_000001 psnr_masked=18.954875946044922
[2021-05-21 04:11:17,130][__main__][INFO] - Pair: pair_000001 lpips=0.447257936000824
[2021-05-21 04:11:17,269][__main__][INFO] - Pair: pair_000001 ssim=0.8029026985168457
[2021-05-21 04:11:17,324][__main__][INFO] - Pair: pair_000002 l1=0.0066269636154174805
