[2021-05-21 04:08:47,430][iopath.fb.manifold][INFO] - URL manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth
[2021-05-21 04:08:50,677][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1Metric object at 0x7efd724313a0>
[2021-05-21 04:08:50,678][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1MaskedMetric object at 0x7efd1a5daee0>
[2021-05-21 04:08:50,678][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMetric object at 0x7efd1a5ec1f0>
[2021-05-21 04:08:50,678][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMaskedMetric object at 0x7efd1a5ec640>
[2021-05-21 04:08:50,678][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.lpips.LPIPSMetric object at 0x7efd1a5ec6a0>
[2021-05-21 04:08:50,678][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.ssim.SSIMMetric object at 0x7efd1a5ecf40>
[2021-05-21 04:08:50,679][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/unpacked.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/unpacked.zip
[2021-05-21 04:08:53,604][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/gt_warp.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/gt_warp.zip
[2021-05-21 04:08:53,984][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/ours_f268032071.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/ours_f268032071.zip
[2021-05-21 04:08:54,382][__main__][INFO] - Pair: pair_000001 l1=0.042217377573251724
[2021-05-21 04:08:54,385][__main__][INFO] - Pair: pair_000001 l1_masked=0.054780881851911545
[2021-05-21 04:08:54,386][__main__][INFO] - Pair: pair_000001 psnr=21.89200210571289
[2021-05-21 04:08:54,389][__main__][INFO] - Pair: pair_000001 psnr_masked=20.76062774658203
[2021-05-21 04:08:54,406][__main__][INFO] - Pair: pair_000001 lpips=0.23657721281051636
[2021-05-21 04:08:54,570][__main__][INFO] - Pair: pair_000001 ssim=0.8245981335639954
[2021-05-21 04:08:54,602][__main__][INFO] - Pair: pair_000002 l1=0.005278407596051693
[2021-05-21 04:08:54,606][__main__][INFO] - Pair: pair_000002 l1_masked=0.1559160202741623
[2021-05-21 04:08:54,608][__main__][INFO] - Pair: pair_000002 psnr=29.288349151611328
[2021-05-21 04:08:54,610][__main__][INFO] - Pair: pair_000002 psnr_masked=14.584470748901367
