[2021-05-20 18:21:49,203][iopath.fb.manifold][INFO] - Caching manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth ...
[2021-05-20 18:21:51,161][iopath.fb.manifold][INFO] - URL manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth
[2021-05-20 18:21:53,989][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1Metric object at 0x7f5877ea6d90>
[2021-05-20 18:21:53,989][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1MaskedMetric object at 0x7f58755af250>
[2021-05-20 18:21:53,989][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMetric object at 0x7f5877f9cd60>
[2021-05-20 18:21:53,990][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMaskedMetric object at 0x7f587557e850>
[2021-05-20 18:21:53,990][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.lpips.LPIPSMetric object at 0x7f5875548b50>
[2021-05-20 18:21:53,990][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.ssim.SSIMMetric object at 0x7f5877f3d400>
[2021-05-20 18:21:53,991][iopath.fb.manifold][INFO] - Caching manifold://x3d_svnerf/tree/eval/spaces/unpacked.zip ...
[2021-05-20 18:21:57,315][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/unpacked.zip cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/unpacked.zip
[2021-05-20 18:22:00,154][iopath.fb.manifold][INFO] - Caching manifold://x3d_svnerf/tree/eval/spaces/photo3d.zip ...
[2021-05-20 18:22:04,824][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/photo3d.zip cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/photo3d.zip
[2021-05-20 18:22:07,985][__main__][INFO] - Pair: pair_000000 l1=0.0655393972992897
[2021-05-20 18:22:07,990][__main__][INFO] - Pair: pair_000000 l1_masked=0.06901602447032928
[2021-05-20 18:22:07,991][__main__][INFO] - Pair: pair_000000 psnr=19.225658416748047
[2021-05-20 18:22:07,994][__main__][INFO] - Pair: pair_000000 psnr_masked=19.001182556152344
[2021-05-20 18:22:19,150][__main__][INFO] - Pair: pair_000000 lpips=0.18903198838233948
[2021-05-20 18:22:19,311][__main__][INFO] - Pair: pair_000000 ssim=0.6052356958389282
[2021-05-20 18:22:19,340][__main__][INFO] - Pair: pair_000001 l1=0.0733836442232132
[2021-05-20 18:22:19,343][__main__][INFO] - Pair: pair_000001 l1_masked=0.07485257089138031
[2021-05-20 18:22:19,344][__main__][INFO] - Pair: pair_000001 psnr=18.19486427307129
[2021-05-20 18:22:19,347][__main__][INFO] - Pair: pair_000001 psnr_masked=18.108789443969727
[2021-05-20 18:22:19,365][__main__][INFO] - Pair: pair_000001 lpips=0.21670129895210266
[2021-05-20 18:22:19,543][__main__][INFO] - Pair: pair_000001 ssim=0.74400395154953
[2021-05-20 18:22:19,569][__main__][INFO] - Pair: pair_000002 l1=0.22205260396003723
[2021-05-20 18:22:19,571][__main__][INFO] - Pair: pair_000002 l1_masked=0.22447964549064636
[2021-05-20 18:22:19,573][__main__][INFO] - Pair: pair_000002 psnr=11.373292922973633
[2021-05-20 18:22:19,576][__main__][INFO] - Pair: pair_000002 psnr_masked=11.326083183288574
[2021-05-20 18:22:19,594][__main__][INFO] - Pair: pair_000002 lpips=0.7315964698791504
[2021-05-20 18:22:19,779][__main__][INFO] - Pair: pair_000002 ssim=0.5155870318412781
[2021-05-20 18:22:19,807][__main__][INFO] - Pair: pair_000003 l1=0.07733767479658127
[2021-05-20 18:22:19,809][__main__][INFO] - Pair: pair_000003 l1_masked=0.08785131573677063
[2021-05-20 18:22:19,811][__main__][INFO] - Pair: pair_000003 psnr=17.51204490661621
[2021-05-20 18:22:19,814][__main__][INFO] - Pair: pair_000003 psnr_masked=16.958473205566406
[2021-05-20 18:22:19,835][__main__][INFO] - Pair: pair_000003 lpips=0.19893231987953186
[2021-05-20 18:22:20,013][__main__][INFO] - Pair: pair_000003 ssim=0.5947949290275574
[2021-05-20 18:22:20,041][__main__][INFO] - Pair: pair_000004 l1=0.07772858440876007
[2021-05-20 18:22:20,044][__main__][INFO] - Pair: pair_000004 l1_masked=0.07772858440876007
[2021-05-20 18:22:20,046][__main__][INFO] - Pair: pair_000004 psnr=17.70266342163086
[2021-05-20 18:22:20,048][__main__][INFO] - Pair: pair_000004 psnr_masked=17.70266342163086
[2021-05-20 18:22:20,066][__main__][INFO] - Pair: pair_000004 lpips=0.23184943199157715
[2021-05-20 18:22:20,248][__main__][INFO] - Pair: pair_000004 ssim=0.593608558177948
[2021-05-20 18:22:20,275][__main__][INFO] - Pair: pair_000005 l1=0.0681554451584816
[2021-05-20 18:22:20,278][__main__][INFO] - Pair: pair_000005 l1_masked=0.07072832435369492
[2021-05-20 18:22:20,280][__main__][INFO] - Pair: pair_000005 psnr=18.506574630737305
[2021-05-20 18:22:20,282][__main__][INFO] - Pair: pair_000005 psnr_masked=18.345645904541016
[2021-05-20 18:22:20,300][__main__][INFO] - Pair: pair_000005 lpips=0.18280716240406036
[2021-05-20 18:22:20,477][__main__][INFO] - Pair: pair_000005 ssim=0.6326707601547241
[2021-05-20 18:22:20,505][__main__][INFO] - Pair: pair_000006 l1=0.08439015597105026
[2021-05-20 18:22:20,508][__main__][INFO] - Pair: pair_000006 l1_masked=0.08439014852046967
[2021-05-20 18:22:20,510][__main__][INFO] - Pair: pair_000006 psnr=17.388126373291016
[2021-05-20 18:22:20,512][__main__][INFO] - Pair: pair_000006 psnr_masked=17.388126373291016
[2021-05-20 18:22:20,530][__main__][INFO] - Pair: pair_000006 lpips=0.26982104778289795
[2021-05-20 18:22:20,708][__main__][INFO] - Pair: pair_000006 ssim=0.6613088250160217
[2021-05-20 18:22:20,740][__main__][INFO] - Pair: pair_000007 l1=0.09683017432689667
[2021-05-20 18:22:20,743][__main__][INFO] - Pair: pair_000007 l1_masked=0.09683017432689667
[2021-05-20 18:22:20,744][__main__][INFO] - Pair: pair_000007 psnr=16.759164810180664
[2021-05-20 18:22:20,747][__main__][INFO] - Pair: pair_000007 psnr_masked=16.759164810180664
[2021-05-20 18:22:20,765][__main__][INFO] - Pair: pair_000007 lpips=0.30840957164764404
[2021-05-20 18:22:20,946][__main__][INFO] - Pair: pair_000007 ssim=0.5894007086753845
[2021-05-20 18:22:20,973][__main__][INFO] - Pair: pair_000008 l1=0.08720020204782486
[2021-05-20 18:22:20,976][__main__][INFO] - Pair: pair_000008 l1_masked=0.08720019459724426
[2021-05-20 18:22:20,977][__main__][INFO] - Pair: pair_000008 psnr=17.074125289916992
[2021-05-20 18:22:20,980][__main__][INFO] - Pair: pair_000008 psnr_masked=17.074125289916992
[2021-05-20 18:22:20,998][__main__][INFO] - Pair: pair_000008 lpips=0.284088671207428
[2021-05-20 18:22:21,174][__main__][INFO] - Pair: pair_000008 ssim=0.547279417514801
[2021-05-20 18:22:21,202][__main__][INFO] - Pair: pair_000009 l1=0.0845503956079483
[2021-05-20 18:22:21,205][__main__][INFO] - Pair: pair_000009 l1_masked=0.0845503881573677
[2021-05-20 18:22:21,206][__main__][INFO] - Pair: pair_000009 psnr=17.995037078857422
[2021-05-20 18:22:21,209][__main__][INFO] - Pair: pair_000009 psnr_masked=17.995037078857422
[2021-05-20 18:22:21,227][__main__][INFO] - Pair: pair_000009 lpips=0.23864366114139557
[2021-05-20 18:22:21,404][__main__][INFO] - Pair: pair_000009 ssim=0.6688177585601807
[2021-05-20 18:22:21,446][__main__][INFO] - Pair: pair_000010 l1=0.06647700816392899
[2021-05-20 18:22:21,449][__main__][INFO] - Pair: pair_000010 l1_masked=0.06913666427135468
[2021-05-20 18:22:21,450][__main__][INFO] - Pair: pair_000010 psnr=18.67231559753418
[2021-05-20 18:22:21,453][__main__][INFO] - Pair: pair_000010 psnr_masked=18.5019474029541
[2021-05-20 18:22:21,471][__main__][INFO] - Pair: pair_000010 lpips=0.1637658327817917
[2021-05-20 18:22:21,648][__main__][INFO] - Pair: pair_000010 ssim=0.6158344745635986
[2021-05-20 18:22:21,677][__main__][INFO] - Pair: pair_000011 l1=0.07680695503950119
[2021-05-20 18:22:21,680][__main__][INFO] - Pair: pair_000011 l1_masked=0.07680695503950119
[2021-05-20 18:22:21,681][__main__][INFO] - Pair: pair_000011 psnr=17.680143356323242
[2021-05-20 18:22:21,684][__main__][INFO] - Pair: pair_000011 psnr_masked=17.680143356323242
[2021-05-20 18:22:21,702][__main__][INFO] - Pair: pair_000011 lpips=0.23947042226791382
[2021-05-20 18:22:21,879][__main__][INFO] - Pair: pair_000011 ssim=0.6258999109268188
[2021-05-20 18:22:21,909][__main__][INFO] - Pair: pair_000012 l1=0.07124548405408859
[2021-05-20 18:22:21,912][__main__][INFO] - Pair: pair_000012 l1_masked=0.07124548405408859
[2021-05-20 18:22:21,913][__main__][INFO] - Pair: pair_000012 psnr=18.18543815612793
[2021-05-20 18:22:21,916][__main__][INFO] - Pair: pair_000012 psnr_masked=18.18543815612793
[2021-05-20 18:22:21,959][__main__][INFO] - Pair: pair_000012 lpips=0.19201859831809998
[2021-05-20 18:22:22,131][__main__][INFO] - Pair: pair_000012 ssim=0.6149135231971741
[2021-05-20 18:22:22,158][__main__][INFO] - Pair: pair_000013 l1=0.0521157942712307
[2021-05-20 18:22:22,161][__main__][INFO] - Pair: pair_000013 l1_masked=0.052940525114536285
[2021-05-20 18:22:22,163][__main__][INFO] - Pair: pair_000013 psnr=20.298439025878906
[2021-05-20 18:22:22,165][__main__][INFO] - Pair: pair_000013 psnr_masked=20.230247497558594
[2021-05-20 18:22:22,183][__main__][INFO] - Pair: pair_000013 lpips=0.1403159201145172
[2021-05-20 18:22:22,361][__main__][INFO] - Pair: pair_000013 ssim=0.7354307174682617
[2021-05-20 18:22:22,389][__main__][INFO] - Pair: pair_000014 l1=0.06886488199234009
[2021-05-20 18:22:22,392][__main__][INFO] - Pair: pair_000014 l1_masked=0.0690334141254425
[2021-05-20 18:22:22,394][__main__][INFO] - Pair: pair_000014 psnr=18.555580139160156
[2021-05-20 18:22:22,397][__main__][INFO] - Pair: pair_000014 psnr_masked=18.544963836669922
[2021-05-20 18:22:22,414][__main__][INFO] - Pair: pair_000014 lpips=0.16139988601207733
[2021-05-20 18:22:22,591][__main__][INFO] - Pair: pair_000014 ssim=0.6216911673545837
[2021-05-20 18:22:22,619][__main__][INFO] - Pair: pair_000015 l1=0.09532379359006882
[2021-05-20 18:22:22,622][__main__][INFO] - Pair: pair_000015 l1_masked=0.09535372257232666
[2021-05-20 18:22:22,624][__main__][INFO] - Pair: pair_000015 psnr=16.934520721435547
[2021-05-20 18:22:22,626][__main__][INFO] - Pair: pair_000015 psnr_masked=16.933156967163086
[2021-05-20 18:22:22,644][__main__][INFO] - Pair: pair_000015 lpips=0.30107739567756653
[2021-05-20 18:22:22,820][__main__][INFO] - Pair: pair_000015 ssim=0.5611298680305481
[2021-05-20 18:22:22,848][__main__][INFO] - Pair: pair_000016 l1=0.07679307460784912
[2021-05-20 18:22:22,851][__main__][INFO] - Pair: pair_000016 l1_masked=0.07679307460784912
[2021-05-20 18:22:22,852][__main__][INFO] - Pair: pair_000016 psnr=18.864501953125
