[2021-05-20 18:48:28,056][iopath.fb.manifold][INFO] - URL manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth
[2021-05-20 18:48:31,150][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1Metric object at 0x7f5835af1af0>
[2021-05-20 18:48:31,150][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1MaskedMetric object at 0x7f5835af1100>
[2021-05-20 18:48:31,150][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMetric object at 0x7f5835af1460>
[2021-05-20 18:48:31,150][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMaskedMetric object at 0x7f5835af1e50>
[2021-05-20 18:48:31,151][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.lpips.LPIPSMetric object at 0x7f587557e490>
[2021-05-20 18:48:31,151][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.ssim.SSIMMetric object at 0x7f5877e96670>
[2021-05-20 18:48:31,151][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/re10k/unpacked.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/re10k/unpacked.zip
[2021-05-20 18:48:34,017][iopath.fb.manifold][INFO] - Caching manifold://x3d_svnerf/tree/eval/re10k/ours.zip ...
[2021-05-20 18:48:37,439][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/re10k/ours.zip cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/re10k/ours.zip
[2021-05-20 18:48:37,862][__main__][INFO] - Pair: pair_000000 l1=0.036387670785188675
[2021-05-20 18:48:37,865][__main__][INFO] - Pair: pair_000000 l1_masked=0.03639697656035423
[2021-05-20 18:48:37,866][__main__][INFO] - Pair: pair_000000 psnr=23.58458709716797
[2021-05-20 18:48:37,869][__main__][INFO] - Pair: pair_000000 psnr_masked=23.583478927612305
[2021-05-20 18:48:37,887][__main__][INFO] - Pair: pair_000000 lpips=0.1599806547164917
[2021-05-20 18:48:38,041][__main__][INFO] - Pair: pair_000000 ssim=0.8698897361755371
[2021-05-20 18:48:38,065][__main__][INFO] - Pair: pair_000001 l1=0.24724805355072021
[2021-05-20 18:48:38,068][__main__][INFO] - Pair: pair_000001 l1_masked=0.25111329555511475
[2021-05-20 18:48:38,069][__main__][INFO] - Pair: pair_000001 psnr=10.255059242248535
[2021-05-20 18:48:38,072][__main__][INFO] - Pair: pair_000001 psnr_masked=10.187690734863281
[2021-05-20 18:48:38,086][__main__][INFO] - Pair: pair_000001 lpips=0.7158308029174805
[2021-05-20 18:48:38,223][__main__][INFO] - Pair: pair_000001 ssim=0.4246945083141327
[2021-05-20 18:48:38,247][__main__][INFO] - Pair: pair_000002 l1=0.08087696135044098
[2021-05-20 18:48:38,250][__main__][INFO] - Pair: pair_000002 l1_masked=0.08092964440584183
[2021-05-20 18:48:38,251][__main__][INFO] - Pair: pair_000002 psnr=17.313215255737305
[2021-05-20 18:48:38,253][__main__][INFO] - Pair: pair_000002 psnr_masked=17.310388565063477
[2021-05-20 18:48:38,267][__main__][INFO] - Pair: pair_000002 lpips=0.3245364725589752
[2021-05-20 18:48:38,400][__main__][INFO] - Pair: pair_000002 ssim=0.6294105648994446
[2021-05-20 18:48:38,691][__main__][INFO] - Pair: pair_000003 l1=0.06835741549730301
[2021-05-20 18:48:38,695][__main__][INFO] - Pair: pair_000003 l1_masked=0.06861267238855362
[2021-05-20 18:48:38,697][__main__][INFO] - Pair: pair_000003 psnr=19.2496280670166
[2021-05-20 18:48:38,700][__main__][INFO] - Pair: pair_000003 psnr_masked=19.233440399169922
[2021-05-20 18:48:38,720][__main__][INFO] - Pair: pair_000003 lpips=0.38313549757003784
[2021-05-20 18:48:38,873][__main__][INFO] - Pair: pair_000003 ssim=0.7552733421325684
[2021-05-20 18:48:38,897][__main__][INFO] - Pair: pair_000004 l1=0.07315953820943832
[2021-05-20 18:48:38,900][__main__][INFO] - Pair: pair_000004 l1_masked=0.07315953820943832
[2021-05-20 18:48:38,901][__main__][INFO] - Pair: pair_000004 psnr=18.738683700561523
[2021-05-20 18:48:38,904][__main__][INFO] - Pair: pair_000004 psnr_masked=18.738683700561523
[2021-05-20 18:48:38,982][__main__][INFO] - Pair: pair_000004 lpips=0.327283650636673
[2021-05-20 18:48:39,148][__main__][INFO] - Pair: pair_000004 ssim=0.7273813486099243
[2021-05-20 18:48:39,175][__main__][INFO] - Pair: pair_000005 l1=0.03152765333652496
[2021-05-20 18:48:39,179][__main__][INFO] - Pair: pair_000005 l1_masked=0.03301255404949188
[2021-05-20 18:48:39,180][__main__][INFO] - Pair: pair_000005 psnr=25.871356964111328
[2021-05-20 18:48:39,183][__main__][INFO] - Pair: pair_000005 psnr_masked=25.67148208618164
[2021-05-20 18:48:39,204][__main__][INFO] - Pair: pair_000005 lpips=0.20017746090888977
[2021-05-20 18:48:39,383][__main__][INFO] - Pair: pair_000005 ssim=0.8848258256912231
[2021-05-20 18:48:39,411][__main__][INFO] - Pair: pair_000006 l1=0.044600579887628555
[2021-05-20 18:48:39,415][__main__][INFO] - Pair: pair_000006 l1_masked=0.044619251042604446
[2021-05-20 18:48:39,416][__main__][INFO] - Pair: pair_000006 psnr=22.09650993347168
[2021-05-20 18:48:39,448][__main__][INFO] - Pair: pair_000006 psnr_masked=22.094690322875977
[2021-05-20 18:48:39,468][__main__][INFO] - Pair: pair_000006 lpips=0.11477301269769669
[2021-05-20 18:48:39,640][__main__][INFO] - Pair: pair_000006 ssim=0.8144387006759644
[2021-05-20 18:48:39,668][__main__][INFO] - Pair: pair_000007 l1=0.20092466473579407
