[2021-05-21 03:05:00,184][iopath.fb.manifold][INFO] - URL manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth
[2021-05-21 03:05:03,277][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1Metric object at 0x7f89e9fde370>
[2021-05-21 03:05:03,277][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1MaskedMetric object at 0x7f89e9fde100>
[2021-05-21 03:05:03,277][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMetric object at 0x7f8a2568b5e0>
[2021-05-21 03:05:03,278][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMaskedMetric object at 0x7f89e9ffe5e0>
[2021-05-21 03:05:03,278][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.lpips.LPIPSMetric object at 0x7f89e9ffe490>
[2021-05-21 03:05:03,278][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.ssim.SSIMMetric object at 0x7f89eac74d30>
[2021-05-21 03:05:03,278][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/unpacked.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/unpacked.zip
[2021-05-21 03:05:06,086][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/gt_warp.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/gt_warp.zip
[2021-05-21 03:05:06,451][iopath.fb.manifold][INFO] - Caching manifold://x3d_svnerf/tree/eval/spaces/ours_f274140566.zip ...
[2021-05-21 03:05:09,351][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/ours_f274140566.zip cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/ours_f274140566.zip
[2021-05-21 03:05:09,811][__main__][INFO] - Pair: pair_000000 l1=0.0457775816321373
[2021-05-21 03:05:09,814][__main__][INFO] - Pair: pair_000000 l1_masked=0.05286509916186333
[2021-05-21 03:05:09,816][__main__][INFO] - Pair: pair_000000 psnr=22.682823181152344
[2021-05-21 03:05:09,818][__main__][INFO] - Pair: pair_000000 psnr_masked=22.057662963867188
[2021-05-21 03:05:09,836][__main__][INFO] - Pair: pair_000000 lpips=0.2591549754142761
[2021-05-21 03:05:10,023][__main__][INFO] - Pair: pair_000000 ssim=0.7549095749855042
[2021-05-21 03:05:10,057][__main__][INFO] - Pair: pair_000001 l1=0.04521510377526283
[2021-05-21 03:05:10,060][__main__][INFO] - Pair: pair_000001 l1_masked=0.05867069959640503
[2021-05-21 03:05:10,062][__main__][INFO] - Pair: pair_000001 psnr=21.633195877075195
[2021-05-21 03:05:10,065][__main__][INFO] - Pair: pair_000001 psnr_masked=20.501821517944336
[2021-05-21 03:05:10,083][__main__][INFO] - Pair: pair_000001 lpips=0.2769658863544464
[2021-05-21 03:05:10,269][__main__][INFO] - Pair: pair_000001 ssim=0.819805920124054
[2021-05-21 03:05:10,302][__main__][INFO] - Pair: pair_000002 l1=0.006664424203336239
[2021-05-21 03:05:10,305][__main__][INFO] - Pair: pair_000002 l1_masked=0.19685682654380798
[2021-05-21 03:05:10,306][__main__][INFO] - Pair: pair_000002 psnr=27.25794219970703
[2021-05-21 03:05:10,309][__main__][INFO] - Pair: pair_000002 psnr_masked=12.554064750671387
[2021-05-21 03:05:10,327][__main__][INFO] - Pair: pair_000002 lpips=0.020836113020777702
[2021-05-21 03:05:10,513][__main__][INFO] - Pair: pair_000002 ssim=0.9863134026527405
[2021-05-21 03:05:10,547][__main__][INFO] - Pair: pair_000003 l1=0.05539954826235771
[2021-05-21 03:05:10,550][__main__][INFO] - Pair: pair_000003 l1_masked=0.06890377402305603
[2021-05-21 03:05:10,551][__main__][INFO] - Pair: pair_000003 psnr=20.078933715820312
[2021-05-21 03:05:10,554][__main__][INFO] - Pair: pair_000003 psnr_masked=19.131567001342773
[2021-05-21 03:05:10,572][__main__][INFO] - Pair: pair_000003 lpips=0.25126853585243225
[2021-05-21 03:05:10,770][__main__][INFO] - Pair: pair_000003 ssim=0.732572078704834
[2021-05-21 03:05:10,805][__main__][INFO] - Pair: pair_000004 l1=0.06818580627441406
[2021-05-21 03:05:10,808][__main__][INFO] - Pair: pair_000004 l1_masked=0.08306404948234558
[2021-05-21 03:05:10,810][__main__][INFO] - Pair: pair_000004 psnr=18.670700073242188
[2021-05-21 03:05:10,812][__main__][INFO] - Pair: pair_000004 psnr_masked=17.813508987426758
[2021-05-21 03:05:10,830][__main__][INFO] - Pair: pair_000004 lpips=0.320365846157074
[2021-05-21 03:05:11,017][__main__][INFO] - Pair: pair_000004 ssim=0.6983237266540527
[2021-05-21 03:05:11,052][__main__][INFO] - Pair: pair_000005 l1=0.056511469185352325
[2021-05-21 03:05:11,055][__main__][INFO] - Pair: pair_000005 l1_masked=0.058840714395046234
[2021-05-21 03:05:11,056][__main__][INFO] - Pair: pair_000005 psnr=20.515565872192383
[2021-05-21 03:05:11,059][__main__][INFO] - Pair: pair_000005 psnr_masked=20.34015464782715
[2021-05-21 03:05:11,077][__main__][INFO] - Pair: pair_000005 lpips=0.3202541172504425
[2021-05-21 03:05:11,271][__main__][INFO] - Pair: pair_000005 ssim=0.7309393882751465
[2021-05-21 03:05:11,306][__main__][INFO] - Pair: pair_000006 l1=0.07232825458049774
[2021-05-21 03:05:11,309][__main__][INFO] - Pair: pair_000006 l1_masked=0.08090230077505112
[2021-05-21 03:05:11,310][__main__][INFO] - Pair: pair_000006 psnr=18.89899444580078
[2021-05-21 03:05:11,313][__main__][INFO] - Pair: pair_000006 psnr_masked=18.412464141845703
[2021-05-21 03:05:11,331][__main__][INFO] - Pair: pair_000006 lpips=0.3630763590335846
[2021-05-21 03:05:11,517][__main__][INFO] - Pair: pair_000006 ssim=0.7421223521232605
[2021-05-21 03:05:11,551][__main__][INFO] - Pair: pair_000007 l1=0.0739174410700798
[2021-05-21 03:05:11,554][__main__][INFO] - Pair: pair_000007 l1_masked=0.08558117598295212
[2021-05-21 03:05:11,555][__main__][INFO] - Pair: pair_000007 psnr=18.944583892822266
[2021-05-21 03:05:11,558][__main__][INFO] - Pair: pair_000007 psnr_masked=18.308269500732422
[2021-05-21 03:05:11,576][__main__][INFO] - Pair: pair_000007 lpips=0.35688120126724243
[2021-05-21 03:05:11,771][__main__][INFO] - Pair: pair_000007 ssim=0.7036715149879456
[2021-05-21 03:05:11,805][__main__][INFO] - Pair: pair_000008 l1=0.07288047671318054
[2021-05-21 03:05:11,808][__main__][INFO] - Pair: pair_000008 l1_masked=0.0765572041273117
[2021-05-21 03:05:11,810][__main__][INFO] - Pair: pair_000008 psnr=19.239046096801758
[2021-05-21 03:05:11,813][__main__][INFO] - Pair: pair_000008 psnr_masked=19.025299072265625
[2021-05-21 03:05:11,830][__main__][INFO] - Pair: pair_000008 lpips=0.4427480697631836
[2021-05-21 03:05:12,015][__main__][INFO] - Pair: pair_000008 ssim=0.6835436820983887
[2021-05-21 03:05:12,049][__main__][INFO] - Pair: pair_000009 l1=0.04067320376634598
[2021-05-21 03:05:12,052][__main__][INFO] - Pair: pair_000009 l1_masked=0.055902499705553055
[2021-05-21 03:05:12,054][__main__][INFO] - Pair: pair_000009 psnr=22.311763763427734
[2021-05-21 03:05:12,056][__main__][INFO] - Pair: pair_000009 psnr_masked=20.9305362701416
[2021-05-21 03:05:12,074][__main__][INFO] - Pair: pair_000009 lpips=0.19477292895317078
[2021-05-21 03:05:12,270][__main__][INFO] - Pair: pair_000009 ssim=0.8403360247612
[2021-05-21 03:05:12,305][__main__][INFO] - Pair: pair_000010 l1=0.044503215700387955
[2021-05-21 03:05:12,308][__main__][INFO] - Pair: pair_000010 l1_masked=0.04510839283466339
[2021-05-21 03:05:12,309][__main__][INFO] - Pair: pair_000010 psnr=22.111892700195312
[2021-05-21 03:05:12,312][__main__][INFO] - Pair: pair_000010 psnr_masked=22.053232192993164
[2021-05-21 03:05:12,330][__main__][INFO] - Pair: pair_000010 lpips=0.2359207570552826
[2021-05-21 03:05:12,514][__main__][INFO] - Pair: pair_000010 ssim=0.8012751340866089
[2021-05-21 03:05:12,549][__main__][INFO] - Pair: pair_000011 l1=0.059670340269804
[2021-05-21 03:05:12,552][__main__][INFO] - Pair: pair_000011 l1_masked=0.06090304255485535
[2021-05-21 03:05:12,553][__main__][INFO] - Pair: pair_000011 psnr=20.371187210083008
[2021-05-21 03:05:12,556][__main__][INFO] - Pair: pair_000011 psnr_masked=20.282381057739258
[2021-05-21 03:05:12,574][__main__][INFO] - Pair: pair_000011 lpips=0.41739538311958313
[2021-05-21 03:05:12,771][__main__][INFO] - Pair: pair_000011 ssim=0.764433741569519
[2021-05-21 03:05:12,805][__main__][INFO] - Pair: pair_000012 l1=0.06096586212515831
[2021-05-21 03:05:12,808][__main__][INFO] - Pair: pair_000012 l1_masked=0.06365902721881866
