[2021-05-21 03:03:28,990][iopath.fb.manifold][INFO] - URL manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth
[2021-05-21 03:03:32,092][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1Metric object at 0x7f89e9fac5e0>
[2021-05-21 03:03:32,093][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1MaskedMetric object at 0x7f89e9fcb0a0>
[2021-05-21 03:03:32,093][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMetric object at 0x7f8a257aa2b0>
[2021-05-21 03:03:32,093][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMaskedMetric object at 0x7f8a257aaa90>
[2021-05-21 03:03:32,093][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.lpips.LPIPSMetric object at 0x7f89e7505190>
[2021-05-21 03:03:32,093][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.ssim.SSIMMetric object at 0x7f89e9fced30>
[2021-05-21 03:03:32,093][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/unpacked.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/unpacked.zip
[2021-05-21 03:03:34,899][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/gt_warp.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/gt_warp.zip
[2021-05-21 03:03:35,269][iopath.fb.manifold][INFO] - Caching manifold://x3d_svnerf/tree/eval/spaces/ours_f274140638.zip ...
[2021-05-21 03:03:37,243][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/ours_f274140638.zip cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/ours_f274140638.zip
[2021-05-21 03:03:37,675][__main__][INFO] - Pair: pair_000000 l1=0.06960093230009079
[2021-05-21 03:03:37,678][__main__][INFO] - Pair: pair_000000 l1_masked=0.08037690818309784
[2021-05-21 03:03:37,680][__main__][INFO] - Pair: pair_000000 psnr=19.729150772094727
[2021-05-21 03:03:37,682][__main__][INFO] - Pair: pair_000000 psnr_masked=19.103988647460938
[2021-05-21 03:03:37,697][__main__][INFO] - Pair: pair_000000 lpips=0.2479582130908966
[2021-05-21 03:03:37,886][__main__][INFO] - Pair: pair_000000 ssim=0.6848703622817993
[2021-05-21 03:03:37,922][__main__][INFO] - Pair: pair_000001 l1=0.06662265956401825
[2021-05-21 03:03:37,926][__main__][INFO] - Pair: pair_000001 l1_masked=0.08644895255565643
[2021-05-21 03:03:37,927][__main__][INFO] - Pair: pair_000001 psnr=19.14362144470215
[2021-05-21 03:03:37,930][__main__][INFO] - Pair: pair_000001 psnr_masked=18.012245178222656
[2021-05-21 03:03:37,948][__main__][INFO] - Pair: pair_000001 lpips=0.2234366536140442
[2021-05-21 03:03:38,103][__main__][INFO] - Pair: pair_000001 ssim=0.7568439245223999
[2021-05-21 03:03:38,137][__main__][INFO] - Pair: pair_000002 l1=0.006300363689661026
[2021-05-21 03:03:38,140][__main__][INFO] - Pair: pair_000002 l1_masked=0.18610303103923798
[2021-05-21 03:03:38,142][__main__][INFO] - Pair: pair_000002 psnr=27.504833221435547
[2021-05-21 03:03:38,144][__main__][INFO] - Pair: pair_000002 psnr_masked=12.800954818725586
[2021-05-21 03:03:38,162][__main__][INFO] - Pair: pair_000002 lpips=0.02224651351571083
[2021-05-21 03:03:38,310][__main__][INFO] - Pair: pair_000002 ssim=0.9865267872810364
[2021-05-21 03:03:38,343][__main__][INFO] - Pair: pair_000003 l1=0.058612313121557236
[2021-05-21 03:03:38,346][__main__][INFO] - Pair: pair_000003 l1_masked=0.07289968430995941
[2021-05-21 03:03:38,347][__main__][INFO] - Pair: pair_000003 psnr=20.171401977539062
[2021-05-21 03:03:38,350][__main__][INFO] - Pair: pair_000003 psnr_masked=19.224035263061523
[2021-05-21 03:03:38,365][__main__][INFO] - Pair: pair_000003 lpips=0.24652525782585144
[2021-05-21 03:03:38,511][__main__][INFO] - Pair: pair_000003 ssim=0.7220087647438049
[2021-05-21 03:03:38,543][__main__][INFO] - Pair: pair_000004 l1=0.06935804337263107
[2021-05-21 03:03:38,546][__main__][INFO] - Pair: pair_000004 l1_masked=0.08449207991361618
[2021-05-21 03:03:38,547][__main__][INFO] - Pair: pair_000004 psnr=18.871488571166992
[2021-05-21 03:03:38,550][__main__][INFO] - Pair: pair_000004 psnr_masked=18.01429557800293
[2021-05-21 03:03:38,565][__main__][INFO] - Pair: pair_000004 lpips=0.274067223072052
[2021-05-21 03:03:38,716][__main__][INFO] - Pair: pair_000004 ssim=0.69333416223526
[2021-05-21 03:03:38,777][__main__][INFO] - Pair: pair_000005 l1=0.07465378940105438
[2021-05-21 03:03:38,780][__main__][INFO] - Pair: pair_000005 l1_masked=0.07773081213235855
[2021-05-21 03:03:38,781][__main__][INFO] - Pair: pair_000005 psnr=19.17139434814453
[2021-05-21 03:03:38,784][__main__][INFO] - Pair: pair_000005 psnr_masked=18.995981216430664
[2021-05-21 03:03:38,799][__main__][INFO] - Pair: pair_000005 lpips=0.2870585322380066
[2021-05-21 03:03:38,942][__main__][INFO] - Pair: pair_000005 ssim=0.6922688484191895
[2021-05-21 03:03:38,974][__main__][INFO] - Pair: pair_000006 l1=0.08099713176488876
[2021-05-21 03:03:38,977][__main__][INFO] - Pair: pair_000006 l1_masked=0.09059881418943405
[2021-05-21 03:03:38,978][__main__][INFO] - Pair: pair_000006 psnr=18.304283142089844
[2021-05-21 03:03:38,981][__main__][INFO] - Pair: pair_000006 psnr_masked=17.81775665283203
[2021-05-21 03:03:38,996][__main__][INFO] - Pair: pair_000006 lpips=0.24199184775352478
[2021-05-21 03:03:39,140][__main__][INFO] - Pair: pair_000006 ssim=0.7416937351226807
[2021-05-21 03:03:39,171][__main__][INFO] - Pair: pair_000007 l1=0.08678729087114334
[2021-05-21 03:03:39,174][__main__][INFO] - Pair: pair_000007 l1_masked=0.10048180818557739
[2021-05-21 03:03:39,175][__main__][INFO] - Pair: pair_000007 psnr=18.098546981811523
[2021-05-21 03:03:39,178][__main__][INFO] - Pair: pair_000007 psnr_masked=17.462230682373047
[2021-05-21 03:03:39,192][__main__][INFO] - Pair: pair_000007 lpips=0.3036757707595825
[2021-05-21 03:03:39,333][__main__][INFO] - Pair: pair_000007 ssim=0.680133044719696
[2021-05-21 03:03:39,364][__main__][INFO] - Pair: pair_000008 l1=0.08276670426130295
[2021-05-21 03:03:39,367][__main__][INFO] - Pair: pair_000008 l1_masked=0.08694218099117279
[2021-05-21 03:03:39,368][__main__][INFO] - Pair: pair_000008 psnr=18.651649475097656
[2021-05-21 03:03:39,371][__main__][INFO] - Pair: pair_000008 psnr_masked=18.43790054321289
[2021-05-21 03:03:39,385][__main__][INFO] - Pair: pair_000008 lpips=0.32610154151916504
[2021-05-21 03:03:39,523][__main__][INFO] - Pair: pair_000008 ssim=0.667953372001648
[2021-05-21 03:03:39,555][__main__][INFO] - Pair: pair_000009 l1=0.05007430166006088
[2021-05-21 03:03:39,558][__main__][INFO] - Pair: pair_000009 l1_masked=0.06882365792989731
